name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,fuel_CNG,fuel_Diesel,fuel_Electric,fuel_LPG,fuel_Petrol,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Automatic,transmission_Manual,owner_First Owner,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner
Hyundai Grand i10 AT Asta,2015,400000,30000,Petrol,Individual,Automatic,First Owner,,,,,,,,,,,,,,,
Honda Brio S MT,2015,350000,34823,Petrol,Dealer,Manual,Second Owner,,,,,,,,,,,,,,,
Hyundai EON Era Plus,2017,290000,20000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai i10 Sportz 1.2,2008,150000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti SX4 Vxi BSIV,2013,400000,35000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai Xcent 1.2 Kappa SX,2016,350000,12000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Mahindra Quanto C8,2013,300000,25000,Diesel,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Wagon R LXI,2011,260000,28481,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Wagon R LXI,2009,180000,30375,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID Climber 1.0 AMT BSIV,2017,350000,7658,Petrol,Dealer,Automatic,First Owner,,,,,,,,,,,,,,,
Renault KWID RXL BSIV,2017,325000,18500,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Wagon R AMT VXI,2014,300000,28942,Petrol,Dealer,Automatic,First Owner,,,,,,,,,,,,,,,
Fiat Palio D 1.9 EL PS,2003,55000,35000,Diesel,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Honda Brio 1.2 S MT,2017,400000,15000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Tata Nano Lx,2011,120000,20000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Tata Nano Lx,2011,120000,20000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Omni MPI STD BSIV,2018,200000,10000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Tata Nano LX,2013,60000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai i20 1.2 Spotz,2017,400000,38000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Tata Nano Std,2011,40000,19000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto LX,2012,155000,19077,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Hyundai EON D Lite,2016,210000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON 1.0 Era Plus,2018,100000,21302,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID 1.0 RXT Optional,2018,300000,10500,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Honda Jazz VX,2011,385000,11473,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON Era Plus,2014,260000,37605,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai i10 Sportz 1.2 AT,2013,330000,38000,Petrol,Dealer,Automatic,First Owner,,,,,,,,,,,,,,,
Renault KWID RXT Optional,2016,250000,25000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto K10 VXI,2019,350000,5000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto K10 VXI Airbag,2019,350000,5000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto K10 VXI,2017,320000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Tata Indica Vista TDI LS,2014,250000,25000,Diesel,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2014,210000,20000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Ritz LXI,2009,300000,15000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Honda Brio 1.2 S MT,2017,400000,15000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Tata Nano Lx,2011,120000,20000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto K10 VXI,2018,380000,22155,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Tata Nano Lx,2011,120000,20000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Eeco 7 Seater Standard BSIV,2018,270000,20000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON 1.0 Era Plus,2017,280000,28838,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Datsun GO T Petrol,2015,310000,32686,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID 1.0 RXT Optional,2018,370000,10000,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON Magna Plus,2015,250000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Esteem VX,1999,60000,35000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Eeco 5 Seater AC BSIV,2017,260000,30000,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2018,285000,30000,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai i10 Magna,2012,240000,40000,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON Magna Plus,2015,245000,32000,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto LX,2011,180000,36000,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON D Lite Plus,2013,229999,13500,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID 1.0 RXT Optional,2017,350000,10000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai Grand i10 Magna,2015,325000,25000,Petrol,Individual,Manual,Third Owner,,,,,,,,,,,,,,,
Maruti Alto LXi BSIII,2010,150000,40000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2014,204999,25000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Hyundai Grand i10 Sportz,2017,375000,10000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai i10 Sportz 1.1L,2017,375000,10000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai Grand i10 Asta,2014,341000,31491,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Swift 1.2 DLX,2014,351000,40000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Tata Nano Cx BSIV,2012,75000,35000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Tata Nano Lx,2011,60000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto LX,2011,151000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Nissan Sunny XL,2012,350000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID 1.0 RXT Optional,2017,300000,30300,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Chevrolet Beat PS,2016,300000,25000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2015,280000,15000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Datsun GO Plus T Option BSIV,2017,375000,20000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Datsun RediGO T Option,2017,220000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Tata Indigo LS,2009,100000,20000,Diesel,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Ford Figo Aspire 1.2 Ti-VCT Trend,2016,380000,15000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Toyota Corolla Executive (HE),2009,300000,23262,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai i10 Sportz 1.1L,2015,310000,35925,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Celerio VXI AT,2015,395000,30500,Petrol,Dealer,Automatic,Second Owner,,,,,,,,,,,,,,,
Maruti Alto 800 VXI,2020,350000,1000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Tata Nano CX SE,2013,75000,25000,Petrol,Individual,Manual,Third Owner,,,,,,,,,,,,,,,
Mahindra Quanto C6,2014,250000,1,Diesel,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2018,275000,35000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti 800 EX,2001,40000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID Climber 1.0 AMT,2017,300000,20000,Petrol,Individual,Automatic,First Owner,,,,,,,,,,,,,,,
Nissan Micra Diesel XV Premium,2013,210000,13770,Diesel,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Zen LXi - BS III,2005,125000,34000,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID RXL,2016,229999,38000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Wagon R VXI BS IV,2016,400000,25000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Tata Indica Vista Quadrajet VX,2011,200000,28689,Diesel,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Chevrolet Beat LT,2012,155000,12000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai i10 Magna LPG,2014,290000,29000,LPG,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto K10 VXI,2017,325000,15000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID RXT BSIV,2019,250000,27000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti A-Star Lxi,2008,120000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Tata Manza Aura Quadrajet BS IV,2012,250999,35000,Diesel,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Datsun redi-GO AMT 1.0 T Option,2018,290000,15000,Petrol,Dealer,Automatic,First Owner,,,,,,,,,,,,,,,
Tata Nano Cx BSIII,2014,45000,7000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Alto LXi,2009,110000,20000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti 800 AC BSIII,2005,120000,20000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Eeco 5 Seater AC BSIV,2018,395000,20000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai Santro Xing XL eRLX Euro III,2006,100000,40000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Tata Indica Vista Quadrajet LX,2011,149000,10000,Diesel,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Renault Scala Diesel RxL,2014,400000,35000,Diesel,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Chevrolet Sail 1.2 LT ABS,2014,350000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Wagon R VXI,2016,360000,33000,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto LXi BSIII,2010,210000,25000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Force One EX,2014,346000,37516,Diesel,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2019,280000,25880,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto K10 LXI,2014,200999,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Wagon R LXI Minor,2008,300000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto K10 VXI Airbag,2018,380000,25000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2014,110000,25000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID RXL,2020,300000,20000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Mahindra Jeep Classic,1999,170000,2020,Diesel,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Chevrolet Cruze LTZ,2012,400000,40000,Diesel,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto K10 LX,2020,250000,1100,Petrol,Individual,Manual,Fourth & Above Owner,,,,,,,,,,,,,,,
Hyundai EON Era Plus Option,2017,315000,18469,Petrol,Trustmark Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai Santro Magna AMT BSIV,2019,400000,16000,Petrol,Individual,Automatic,First Owner,,,,,,,,,,,,,,,
Maruti Esteem Vxi,2005,100000,20000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Wagon R VXI BS IV,2017,350000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Wagon R VXI BSIII,2005,80000,40000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Chevrolet Sail Hatchback 1.2 LS,2016,250000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Datsun RediGO S,2016,270000,22000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2017,250000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Datsun RediGO T Option,2017,200000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto LXi,2010,160000,36000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON Magna Optional,2015,300000,22000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Omni 5 Str STD LPG,1998,50000,35000,LPG,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Hyundai Santro Xing GLS,2013,324000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2018,200000,35000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON Magna Optional,2015,300000,20500,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Honda Amaze S AT i-Vtech,2014,400000,15000,Petrol,Individual,Automatic,First Owner,,,,,,,,,,,,,,,
Maruti Alto K10 LXI,2012,175000,20000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti Alto K10 VXI AGS,2017,375000,27289,Petrol,Dealer,Automatic,First Owner,,,,,,,,,,,,,,,
Hyundai EON Era Plus,2016,320000,24662,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai i10 Magna,2014,355000,39227,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Wagon R LXI,2008,221000,35008,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai Santro Xing GLS,2009,195000,27005,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Eeco 7 Seater Standard BSIV,2014,325000,39093,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON Era,2014,290000,12000,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Datsun RediGO 1.0 T Option,2018,375000,2769,Petrol,Dealer,Manual,First Owner,,,,,,,,,,,,,,,
Chevrolet Sail Hatchback 1.2 LS,2015,280000,22255,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID 1.0,2016,265000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Tata Nano LX SE,2012,35000,35000,Petrol,Individual,Manual,Third Owner,,,,,,,,,,,,,,,
Maruti Alto K10 2010-2014 VXI,2012,260000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Swift VXI Optional,2016,360000,30000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Swift 1.2 DLX,2015,220000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto 800 LXI,2017,178000,35000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Ritz VXi,2014,300000,35000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Alto K10 2010-2014 VXI,2012,260000,40000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti 800 Std BSII,2006,90000,40000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Renault KWID RXT Optional,2016,280000,23000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Tata Indica Vista Aqua TDI BSIII,2009,150000,30000,Diesel,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Tata Indica Vista Quadrajet VX,2012,185000,40000,Diesel,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Renault KWID RXL,2019,300000,15000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Hyundai EON Era Plus,2013,250000,35000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Mahindra KUV 100 G80 K2,2018,320000,30000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Maruti 800 DX,2003,60000,35000,Petrol,Individual,Manual,First Owner,,,,,,,,,,,,,,,
Maruti Wagon R VXI BS IV,2014,340000,15000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,
Chevrolet Aveo 1.6 LT,2006,150000,34600,Petrol,Individual,Manual,Third Owner,,,,,,,,,,,,,,,
